id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q4345709,Juhani Arajärvi,1917-11-27,1918-05-27,,Q4345709,Q1888842,Svinhufvudin I hallitus
Q4345709,Juhani Arajärvi,1918-05-27,1918-11-27,Q4345709,Q471286,Q1291664,Paasikiven I hallitus
Q471286,Kaarlo Castrén,1918-11-27,1919-04-17,Q4345709,Q6163504,Q1628568,Ingmanin I hallitus
Q6163504,August Ramsay,1919-04-17,1919-08-15,Q471286,Q391176,Q1628905,K. Castrénin hallitus
Q391176,Johannes Lundson,1919-08-15,1920-03-02,Q6163504,Q11866872,Q1629645,Vennolan I hallitus
Q11866872,Jonathan Wartiovaara,1920-03-15,1921-04-09,Q391176,Q209435,Q1326909,Erichin hallitus
Q209435,Risto Ryti,1921-04-09,1922-06-02,Q11866872,Q11858496,Q1326348,Vennolan II hallitus
Q11858496,Ernst Gråsten,1922-06-02,1922-11-14,Q209435,Q209435,Q4357129,Cajanderin I hallitus
Q209435,Risto Ryti,1922-11-14,1924-01-18,Q11858496,Q11863729,Q6452994,Kallion I hallitus
Q11863729,Hugo Relander,1924-01-18,1924-05-31,Q209435,Q8059654,Q4357154,Cajanderin II hallitus
Q8059654,Yrjö Pulkkinen,1924-05-31,1925-03-31,Q11863729,Q11863729,Q4357167,Ingmanin II hallitus
Q11863729,Hugo Relander,1925-03-31,1925-12-31,Q8059654,Q5895555,Q4412223,Tulenheimon hallitus
Q5895555,Kyösti Järvinen,1925-12-31,1926-12-13,Q11863729,Q5306921,Q8095282,Kallion II hallitus
Q5306921,Hannes Ryömä,1926-12-13,1927-12-17,Q5895555,Q6305142,Q7944323,Tannerin hallitus
Q6305142,Juho Niukkanen,1927-12-17,1928-12-22,Q5306921,Q11863729,Q6305146,Sunilan I hallitus
Q11863729,Hugo Relander,1928-12-22,1929-08-16,Q6305142,Q5395173,Q4357539,Mantereen hallitus
Q5395173,Tyko Reinikka,1929-08-16,1930-07-04,Q11863729,Q471237,Q4357395,Kallion III hallitus
Q471237,Juho Vennola,1930-07-04,1931-03-21,Q5395173,Q5895555,Q7160867,Svinhufvudin II hallitus
Q5895555,Kyösti Järvinen,1931-03-21,1932-12-14,Q471237,Q11863729,Q6305147,Sunilan II hallitus
Q11863729,Hugo Relander,1932-12-14,1936-10-07,Q5895555,Q6305142,Q7813408,Kivimäen hallitus
Q6305142,Juho Niukkanen,1936-10-07,1937-03-12,Q11863729,Q116190,Q4411956,Kallion IV hallitus
Q116190,Väinö Tanner,1937-03-12,1939-12-01,Q6305142,Q471245,Q4412225,Cajanderin III hallitus
Q471245,Mauno Pekkala,1939-12-01,1940-03-27,Q116190,Q471245,Q4357416,Rydin I hallitus
Q471245,Mauno Pekkala,1940-03-27,1941-01-04,Q471245,Q471245,Q4357379,Rydin II hallitus
Q471245,Mauno Pekkala,1941-01-04,1942-05-22,Q471245,Q116190,Q4410576,Rangellin hallitus
Q116190,Väinö Tanner,1942-05-22,1944-08-08,Q471245,Q116190,Q4410576,Rangellin hallitus
Q116190,Väinö Tanner,1942-05-22,1944-08-08,Q116190,Q547230,Q4357269,Linkomiehen hallitus
Q547230,Onni Hiltunen,1944-08-08,1944-11-17,Q116190,Q547230,Q4357427,Hackzellin hallitus
Q547230,Onni Hiltunen,1944-08-08,1944-11-17,Q547230,Q1691981,Q4357261,U. Castrénin hallitus
Q1691981,Johan Helo,1944-11-17,1945-04-17,Q547230,Q728501,Q1330769,Paasikiven II hallitus
Q728501,Sakari Tuomioja,1945-04-17,1945-07-17,Q1691981,Q728830,Q649188,Paasikiven III hallitus
Q728830,Ralf Törngren,1945-07-17,1946-03-26,Q728501,Q728830,Q649188,Paasikiven III hallitus
Q728830,Ralf Törngren,1946-03-26,1948-07-29,Q728830,Q547230,Q1330759,Pekkalan hallitus
Q547230,Onni Hiltunen,1948-07-29,1950-03-17,Q728830,Q708371,Q1336615,Fagerholmin I hallitus
Q708371,V. J. Sukselainen,1950-03-17,1951-01-17,Q547230,Q547230,Q1225824,Kekkosen I hallitus
Q547230,Onni Hiltunen,1951-01-17,1951-09-20,Q708371,Q11901485,Q775388,Kekkosen II hallitus
Q11901485,Viljo Rantala,1951-09-20,1953-07-09,Q547230,Q6305142,Q1336738,Kekkosen III hallitus
Q6305142,Juho Niukkanen,1953-07-09,1953-11-17,Q11901485,Q11898918,Q1336758,Kekkosen IV hallitus
Q11898918,Tuure Junnila,1953-11-17,1954-05-05,Q6305142,Q708371,Q1336721,Tuomiojan hallitus
Q708371,V. J. Sukselainen,1954-05-05,1954-10-20,Q11898918,Q11887308,Q1336634,Törngrenin hallitus
Q11887308,Penna Tervo,1954-10-20,1956-02-26,Q708371,Q9384823,Q1338746,Kekkosen V hallitus
Q9384823,Aarre Simonen,1956-03-03,1957-05-27,Q11887308,Q17382412,Q1338757,Fagerholmin II hallitus
Q17382412,Nils Meinander,1957-05-27,1957-07-02,Q9384823,Q471269,Q1112382,Sukselaisen I hallitus
Q471269,Martti Miettunen,1957-07-02,1957-11-29,Q17382412,Q17380778,Q1112382,Sukselaisen I hallitus
Q17380778,Lauri Hietanen,1957-11-29,1958-04-26,Q471269,Q11864687,Q1350651,Von Fieandtin hallitus
Q11864687,Ilmo Nurmela,1958-04-26,1958-08-29,Q17380778,Q7264590,Q1351242,Kuuskosken hallitus
Q7264590,Päiviö Hetemäki,1958-08-29,1959-01-13,Q11864687,Q11902419,Q6304290,Fagerholmin III hallitus
Q11902419,Wiljam Sarjala,1959-01-13,1961-07-14,Q7264590,Q11902419,Q6304440,Sukselaisen II hallitus
Q11902419,Wiljam Sarjala,1961-07-14,1962-04-13,Q11902419,Q17381492,Q6304227,Miettusen I hallitus
Q17381492,Osmo P. Karttunen,1962-04-13,1963-12-13,Q11902419,Q11881774,Q4696388,Karjalaisen I hallitus
Q11881774,Mauno Jussila,1963-12-13,1963-12-18,Q17381492,Q11858736,Q4696388,Karjalaisen I hallitus
Q11858736,Esko Rekola,1963-12-18,1964-09-12,Q11881774,Q11858570,Q4412105,Lehdon hallitus
Q11858570,Esa Kaitila,1964-09-12,1966-05-27,Q11858736,Q29021,Q6217040,Virolaisen hallitus
Q29021,Mauno Koivisto,1966-05-27,1967-12-31,Q11858570,Q11857180,Q10650451,Paasion I hallitus
Q11857180,Eino Raunio,1968-01-01,1970-05-14,Q29021,Q7264590,Q3374582,Koiviston I hallitus
Q7264590,Päiviö Hetemäki,1970-05-14,1970-07-15,Q11857180,Q11855011,Q3359402,Auran I hallitus
Q11855011,Carl Olof Tallgren,1970-07-15,1971-10-29,Q7264590,Q7264590,Q3374313,Karjalaisen II hallitus
Q7264590,Päiviö Hetemäki,1971-10-29,1972-02-23,Q11855011,Q29021,Q10650403,Auran II hallitus
Q29021,Mauno Koivisto,1972-02-23,1972-09-04,Q7264590,Q471278,Q10650452,Paasion II hallitus
Q471278,Johannes Virolainen,1972-09-04,1975-06-13,Q29021,Q11861918,Q10650462,Sorsan I hallitus
Q11861918,Heikki Tuominen (ministeri),1975-06-13,1975-11-30,Q471278,Q17382763,Q10650442,Liinamaan hallitus
Q17382763,Paul Paavela,1975-11-30,1976-09-29,Q11861918,Q11858736,Q10650448,Miettusen II hallitus
Q11858736,Esko Rekola,1976-09-29,1977-05-15,Q17382763,Q17382763,Q10650449,Miettusen III hallitus
Q17382763,Paul Paavela,1977-05-15,1979-05-26,Q11858736,Q2152508,Q10650461,Sorsan II hallitus
Q2152508,Ahti Pekkala,1979-05-26,1986-01-31,Q17382763,Q2152508,Q10650440,Koiviston II hallitus
Q2152508,Ahti Pekkala,1979-05-26,1986-01-31,Q2152508,Q2152508,Q10650464,Sorsan III hallitus
Q2152508,Ahti Pekkala,1979-05-26,1986-01-31,Q2152508,Q11858721,Q3112478,Sorsan IV hallitus
Q11858721,Esko Ollila,1986-02-01,1987-04-30,Q2152508,Q194058,Q3112478,Sorsan IV hallitus
Q194058,Erkki Liikanen,1987-04-30,1990-02-28,Q11858721,Q6791705,Q3112126,Holkerin hallitus
Q6791705,Matti Louekoski,1990-03-01,1991-04-26,Q194058,Q5995010,Q3112126,Holkerin hallitus
Q5995010,Iiro Viinanen,1991-04-26,1995-04-13,Q6791705,Q5995010,Q3110497,Ahon hallitus
Q5995010,Iiro Viinanen,1995-04-13,1996-02-02,Q5995010,Q29207,Q3110332,Lipposen I hallitus
Q29207,Sauli Niinistö,1996-02-02,1999-04-15,Q5995010,Q29207,Q3110332,Lipposen I hallitus
Q29207,Sauli Niinistö,1999-04-15,2003-04-17,Q29207,Q609682,Q3112247,Lipposen II hallitus
Q609682,Antti Kalliomäki,2003-04-17,2003-06-24,Q29207,Q609682,Q250657,Jäätteenmäen hallitus
Q609682,Antti Kalliomäki,2003-06-24,2005-09-23,Q609682,Q2360756,Q81988,Vanhasen I hallitus
Q2360756,Eero Heinäluoma,2005-09-23,2007-04-19,Q609682,Q57638,Q81988,Vanhasen I hallitus
Q57638,Jyrki Katainen,2007-04-19,2010-06-22,Q2360756,Q57638,Q74172,Vanhasen II hallitus
Q57638,Jyrki Katainen,2010-06-22,2011-06-22,Q57638,Q241376,Q1579733,Kiviniemen hallitus
Q241376,Jutta Urpilainen,2011-06-22,2014-06-06,Q57638,Q11852228,Q1574803,Kataisen hallitus
Q11852228,Antti Rinne,2014-06-06,2014-06-24,Q241376,Q11852228,Q1574803,Kataisen hallitus
Q11852228,Antti Rinne,2014-06-24,2015-05-29,Q11852228,Q503143,Q17227278,Stubbin hallitus
Q503143,Alexander Stubb,2015-05-29,2016-06-22,Q11852228,Q6029546,Q19876592,Sipilän hallitus
Q6029546,Petteri Orpo,2016-06-22,2019-06-06,Q503143,Q16984784,Q19876592,Sipilän hallitus
Q16984784,Mika Lintilä,2019-06-06,2019-12-10,Q6029546,Q20253947,Q64340086,Rinteen hallitus
Q20253947,Katri Kulmuni,2019-12-10,2020-06-09,Q16984784,Q182043,Q77972346,Marinin hallitus
Q182043,Matti Vanhanen,2020-06-09,,Q20253947,,Q77972346,Marinin hallitus
